song_title,song_link,ep_title,genre,length,imdb_rating,no_of_votes,no,story_by_written_by,director,air_date,pc,description
Dirge,https://phineasandferb.fandom.com/wiki/Dirge,The Flying Fishmonger,"Folk, Dirge, Big Band",0:10,8,251,38,Bobby GaylorMartin OlsonElizabeth ItoKim Roberson,Zac Moncrief,2008-09-12,115b,Phineas and Ferb help their grandfather relive his glory days as a daredevil. Dr. Doofenshmirtz seeks revenge against a childhood bully that always kicked sand on him.
Flying Fishmonger,https://phineasandferb.fandom.com/wiki/Flying_Fishmonger,The Flying Fishmonger,Rock and roll,0:34,8,251,38,Bobby GaylorMartin OlsonElizabeth ItoKim Roberson,Zac Moncrief,2008-09-12,115b,Phineas and Ferb help their grandfather relive his glory days as a daredevil. Dr. Doofenshmirtz seeks revenge against a childhood bully that always kicked sand on him.
It's Candace,https://phineasandferb.fandom.com/wiki/It%27s_Candace,Got Game?,NA,0:32,8.3,230,34,Jon Colton BarryBobby GaylorLance LeCompteMartin OlsonAntoine GuilbaudChong Lee,Zac Moncrief,2008-08-02,125a,Phineas and Ferb create the F-Games to find out who's better: boys or girls? Agent P stops Dr. Doofenshmirtz's plan to win a dog show.
One Good Scare,https://phineasandferb.fandom.com/wiki/One_Good_Scare,One Good Scare Ought to Do It!,Gothic Rock in Danny Elfman style,1:59,NA,NA,39,Bobby GaylorMartin OlsonChris HeadrickJon Colton Barry,Dan PovenmireZac Moncrief,2008-10-03,109,"Isabella is cursed with a bad case of the hiccups. Phineas decides to build her a super haunted house to scare 'em out of her. Meanwhile, Perry stops Dr. Doofenshmirtz from destroying his old mentor's hideout, and Candace tries to go to Jeremy's house, but his evil sister Suzy stops her."
He's Eviler,https://phineasandferb.fandom.com/wiki/He%27s_Eviler,The Monster of Phineas-n-Ferbenstein,Doo-wop,0:31,7.9,221,40,Jon Colton BarryMartin OlsonMike Diederich,Zac Moncrief,2008-10-17,122a,"The boys learn about one of Ferb's Victorian ancestors, who helped a scientist create a monster, while Doofenshmirtz tells a story to Perry about his ancestor, who became a monster."
Impress My Professor,https://phineasandferb.fandom.com/wiki/Impress_My_Professor,Ready for the Bettys,"Cabaret, Charleston, Show tune",1:13,NA,NA,14,Bobby GaylorMartin OlsonKent OsborneAliki Theofilopoulos Grafft,Zac Moncrief,2008-02-16,115a,Candace and Stacy get to travel with their favorite band. Phineas and Ferb become secret agents for a day.Guest voice: Lucy Davis as Crash
Busted Conga,https://phineasandferb.fandom.com/wiki/Busted_Conga,Oil on Candace,Conga,0:08,7.9,221,41,Bobby GaylorMartin OlsonAntoine GuilbaudAliki Theofilopoulos Grafft,Zac Moncrief,2008-10-17,122b,"Phineas and Ferb help their friend Django impress his artist father by painting the unpainted desert. Meanwhile, Dr. Doofenshmirtz tries to impress his old evil science teacher, Dr. Gevaarlijk.Guest voice: Joel Grey as Beppo Brown and Jennifer Grey as Dr. Gevaarlijk."
Pinhead Pierre,https://phineasandferb.fandom.com/wiki/Pinhead_Pierre_(song),Rollercoaster,Soundtrack,0:13,8.2,497,1,"Dan PovenmireJeff ""Swampy"" Marsh",Dan Povenmire,2007-08-17,101a,Phineas and Ferb construct a roller coaster from their backyard out to the whole city for themselves and the neighborhood kids. Perry the Platypus attempts to thwart Dr. Doofenshmirtz's evil plan to halt the Earth's rotation.
Hail Doofania!,https://phineasandferb.fandom.com/wiki/Hail_Doofania!_(song),Ready for the Bettys,Anthem,0:51,NA,NA,14,Bobby GaylorMartin OlsonKent OsborneAliki Theofilopoulos Grafft,Zac Moncrief,2008-02-16,115a,Candace and Stacy get to travel with their favorite band. Phineas and Ferb become secret agents for a day.Guest voice: Lucy Davis as Crash
Let's Take A Rocketship To Space,https://phineasandferb.fandom.com/wiki/Let%27s_Take_A_Rocketship_To_Space,Out to Launch,Swing,1:07 (episode)1:03 (album),NA,NA,44,Bobby GaylorMartin OlsonKim RobersonPiero PilusoKent Osborne,Dan PovenmireZac Moncrief,2008-12-05,124,"Lawrence is preoccupied with buying and naming stars online. He buys one for Phineas and Ferb, and also one for Candace. Candace and Isabella are preoccupied with a turn-around dance where the girls ask the boys out. Phineas and Ferb build a rocket to visit their star. Doofenshmirtz is also in space, seeking revenge on an adolescent nemesis."
Shooting Star Milkshake Bar,https://phineasandferb.fandom.com/wiki/Shooting_Star_Milkshake_Bar_(song),Out to Launch,"Rock and roll, garage rock",0:441:17 (Extended),NA,NA,44,Bobby GaylorMartin OlsonKim RobersonPiero PilusoKent Osborne,Dan PovenmireZac Moncrief,2008-12-05,124,"Lawrence is preoccupied with buying and naming stars online. He buys one for Phineas and Ferb, and also one for Candace. Candace and Isabella are preoccupied with a turn-around dance where the girls ask the boys out. Phineas and Ferb build a rocket to visit their star. Doofenshmirtz is also in space, seeking revenge on an adolescent nemesis."
The Good Life,https://phineasandferb.fandom.com/wiki/The_Good_Life,Phineas and Ferb Get Busted!,Bubblegum pop,0:31,8.4,323,45,Bobby GaylorMartin OlsonJon Colton BarryPiero Piluso,Dan Povenmire,2009-03-13,116,The boys build a flying car and Candace finally busts them. They get sent to reform school to have their spirits broken and imaginations removed.Guest voice: Clancy Brown as the Unnamed dream Sergeant and Geraldo Rivera as Morty Williams.
Little Brothers,https://phineasandferb.fandom.com/wiki/Little_Brothers,Phineas and Ferb Get Busted!,"Acoustic, adult contemporary, pop",1:05,8.4,323,45,Bobby GaylorMartin OlsonJon Colton BarryPiero Piluso,Dan Povenmire,2009-03-13,116,The boys build a flying car and Candace finally busts them. They get sent to reform school to have their spirits broken and imaginations removed.Guest voice: Clancy Brown as the Unnamed dream Sergeant and Geraldo Rivera as Morty Williams.
Chains on Me,https://phineasandferb.fandom.com/wiki/Chains_on_Me,Leave the Busting to Us!,Blues,1:32,8.1,266,25,Bobby GaylorMartin OlsonSherm CohenAntoine Guilbaud,Zac Moncrief,2008-04-19,117b,Candace is sure that with the help of a local television show she'll be able to bust her brothers. Dr. Doofenshmirtz recalls his failed magic career and decides to create a new ice age.Guest voice: Vicki Lewis as Lulu and Gwendoline Yeo as Fifi.
Corndog Jingle,https://phineasandferb.fandom.com/wiki/Corndog_Jingle,Phineas and Ferb Get Busted!,Jingle,0:02,8.4,323,45,Bobby GaylorMartin OlsonJon Colton BarryPiero Piluso,Dan Povenmire,2009-03-13,116,The boys build a flying car and Candace finally busts them. They get sent to reform school to have their spirits broken and imaginations removed.Guest voice: Clancy Brown as the Unnamed dream Sergeant and Geraldo Rivera as Morty Williams.
Sleepy Ending,https://phineasandferb.fandom.com/wiki/Sleepy_Ending,Phineas and Ferb Get Busted!,NA,0:05,8.4,323,45,Bobby GaylorMartin OlsonJon Colton BarryPiero Piluso,Dan Povenmire,2009-03-13,116,The boys build a flying car and Candace finally busts them. They get sent to reform school to have their spirits broken and imaginations removed.Guest voice: Clancy Brown as the Unnamed dream Sergeant and Geraldo Rivera as Morty Williams.
Baliwood,https://phineasandferb.fandom.com/wiki/Baliwood,Unfair Science Fair,Filmi,0:58,8.4,230,46,Bobby GaylorMartin OlsonElizabeth ItoAliki Theofilopoulos,Dan PovenmireZac Moncrief,2009-03-20,123a,"Baljeet is discouraged about his prospects at a science fair. Candace competes for a job to be with Jeremy. Dr. Doofenshmirtz seeks to overcome a past rival: a bicarbonate volcano.Guest voice: Brian Stepanek as Mr. McGillicuddy and the unnamed Mr. Slushy Dawg Manager, and Brenda Song as Wendy."
Queen of Mars,https://phineasandferb.fandom.com/wiki/Queen_of_Mars,Phineas and Ferb Musical Cliptastic Countdown,"Calypso, pop",0:491:23 Album,NA,NA,NA,Jon Colton BarryScott Peterson,Dan Povenmire,2009-10-16,211,"Major Monogram and Heinz Doofenshmirtz host a Top 10 musical countdown from the show, voted by users on DisneyChannel.com and DisneyXD.com, which started on September 1."
Mission Song,https://phineasandferb.fandom.com/wiki/Mission_Song,The Lake Nose Monster,NA,0:16,8.4,217,NA,Richard GoodmanJon Colton BarryPiero Piluso,Robert F. Hughes,2009-03-27,201,"The Flynn-Fletcher family go to Lake Nose. Phineas and Ferb try to search for Nosey, and Candace tries to become a lifeguard alongside Jeremy. Meanwhile, Dr. Doofenshmirtz tries to remove all the zinc from the lake's waters.Guest voice: John Larroquette as Bob Webber"
Save You Save Me,https://phineasandferb.fandom.com/wiki/Save_You_Save_Me,The Lake Nose Monster,"Pop punk, alternative rock, pop rock",0:15,8.4,217,NA,Richard GoodmanJon Colton BarryPiero Piluso,Robert F. Hughes,2009-03-27,201,"The Flynn-Fletcher family go to Lake Nose. Phineas and Ferb try to search for Nosey, and Candace tries to become a lifeguard alongside Jeremy. Meanwhile, Dr. Doofenshmirtz tries to remove all the zinc from the lake's waters.Guest voice: John Larroquette as Bob Webber"
My Wettest Friend,https://phineasandferb.fandom.com/wiki/My_Wettest_Friend,The Lake Nose Monster,Bubblegum pop,0:57,8.4,217,NA,Richard GoodmanJon Colton BarryPiero Piluso,Robert F. Hughes,2009-03-27,201,"The Flynn-Fletcher family go to Lake Nose. Phineas and Ferb try to search for Nosey, and Candace tries to become a lifeguard alongside Jeremy. Meanwhile, Dr. Doofenshmirtz tries to remove all the zinc from the lake's waters.Guest voice: John Larroquette as Bob Webber"
Perfect Day,https://phineasandferb.fandom.com/wiki/Perfect_Day,Interview With a Platypus,"Bubblegum pop, Baroque pop",1:14,NA,NA,NA,Jon Colton BarryAntoine GuilbaudKim Roberson,Zac Moncrief,2009-05-08,202a,"Phineas and Ferb build an animal translator to find out what Perry's chatter means. Later discovering that the translator works on all animals, Phineas and Ferb set out to all the animals in the Tri-State Area to find out their problems. Candace goes over to play video games with Jeremy, but is frequently disturbed by Suzy's poodle Meanwhile, Dr. Doofenshmirtz tries to flood the Tri-State area.Guest voice: Tara Strong as The Bird and Tom Kenny as The Squirrel"
A-G-L-E-T,https://phineasandferb.fandom.com/wiki/A-G-L-E-T,Phineas and Ferb Musical Cliptastic Countdown Hosted by Kelly Osbourne,"Pop Rock, Acoustic Rock",2:07,6.9,163,NA,Bobby Gaylor,Kim Roberson,2013-06-28,435,"Dr. Doofenshmirtz and Major Monogram have their hearts set on revealing the top 10 musical numbers from Seasons 2 and 3, but soon find out that celebrity host Kelly Osbourne has been brought in to fill the role. Unwilling to submit to playing second fiddle, Doofenshmirtz makes it his mission to thwart Kelly until Perry the Platypus sets out to stop his nemesis from ruining the entire show. Maia Mitchell (""Teen Beach Movie"") also guest stars."
Flawless Girl,https://phineasandferb.fandom.com/wiki/Flawless_Girl,Attack of the 50 Foot Sister,NA,0:36,NA,NA,NA,Bill MotzBob RothJon Colton BarryPiero Piluso,Zac Moncrief,2009-05-01,203a,"Candace becomes 50-foot tall after pouring a bottle of Phineas and Ferb's growth elixir. Meanwhile, with the annoyance of the mid-summer festival, Dr. Doofenshmirtz creates a machine which sprays the smell of dirty diapers all over the Tri-State Area.Guest voice: April Winchell as Blanca Dishon and Kevin Michael Richardson as P. P. Otter"
When Will He Call Me?,https://phineasandferb.fandom.com/wiki/When_Will_He_Call_Me%3F,Backyard Aquarium,Country pop,0:59,8,191,NA,Jen KirkmanJoe OrrantiaMike Roth,Robert F. Hughes,2009-05-01,203b,Phineas and Ferb get a new pet goldfish and decide to create a aquarium in their backyard for him.
"Come On, Kids!","https://phineasandferb.fandom.com/wiki/Come_On,_Kids!",Day of the Living Gelatin,Rock & Roll,1:27,NA,NA,NA,Michael RyanMike RothJoe Orrantia,Zac Moncrief,2009-05-15,204a,"When Dr. Doofenshmirtz's new machine shoots on Phineas and Ferb's pool of gelatin, it becomes evil."
It's Elementary,https://phineasandferb.fandom.com/wiki/It%27s_Elementary,Elementary My Dear Stacy,NA,0:51,NA,NA,NA,Jon Colton BarryAntoine GuilbaudKim Roberson,Zac Moncrief,2009-05-15,204b,"The Flynn-Fletcher family goes to London, where Candace and Stacy dress up as Sherlock Holmes to bust Phineas and Ferb. Meanwhile, Dr. Doofenshmirtz plans to move Big Ben to the Tri-State Area, where Agent Double O-O helps Perry thwart his plan."
Watchin' and Waitin',https://phineasandferb.fandom.com/wiki/Watchin%27_and_Waitin%27,Don't Even Blink,"Rock, hard rock",1:54,8.3,210,NA,Bobby GaylorDan PovenmireAntoine GuilbaudKim Roberson,Robert F. Hughes,2009-05-29,205a,"Thanks to Stacy's advice, Candace tries to figure out how Phineas and Ferb's crazy creations disappear every time before their mom sees it. Doofenshmirtz creates an Invisible Ray to make the Fireside Girls invisible when they come knocking to sell him cupcakes."
Happy Evil Love Song,https://phineasandferb.fandom.com/wiki/Happy_Evil_Love_Song,Hail Doofania!,Ballad,1:22,8.3,230,43,Bobby GaylorMartin OlsonAntoine GuilbaudAliki Theofilopoulos Grafft,Zac Moncrief,2008-11-07,126b,"Candace and Vanessa accidentally get their clothes switched at the dry cleaners. Dr. Doofenshmirtz builds his own evil empire on an inner tube and Vanessa tries to bust him. Meanwhile, Phineas and Ferb create a rainbowinator to show Isabella her first rainbow."
Technology vs. Nature,https://phineasandferb.fandom.com/wiki/Technology_vs._Nature,Perry Lays an Egg,"Pop Rock, Novelty",1:13,7.8,195,NA,Michael RyanJoe OrrantiaMike Roth,Zac Moncrief,2009-05-22,206a,"Phineas and Ferb find an egg and believe it's Perry's, and they take care of it until Candace decides to teach them how to properly take care of an egg. Heinz Doofenshmirtz plans to get revenge on whales for stealing his old girlfriend."
Let's Go Digital,https://phineasandferb.fandom.com/wiki/Let%27s_Go_Digital,Gaming the System,"Synthpunk, electronic rock, alternative rock",1:32,7.8,195,NA,Bill MotzBob RothJoe OrrantiaZac Moncrief,Zac Moncrief,2009-05-22,206b,"Phineas and Ferb accidentally trap Candace in a video game and have to help her out so that she can get ready for the cotillion. Meanwhile, Perry has to stop Doofenshmirtz from zapping men into wearing ballgowns with the Ballgowninator."
My Ride From Outer Space,https://phineasandferb.fandom.com/wiki/My_Ride_From_Outer_Space,The Chronicles of Meap,Hard rock,1:31  1:43 (album),8.9,315,NA,Jon Colton BarryDavid ShaynePiero Piluso,"Jeff ""Swampy"" MarshRobert F. Hughes",2009-06-19,207,"An alien named Meap crashes in Phineas and Ferb's backyard, and runs off. The boys and Isabella try to find Meap but then they get captured by Meap's nemesis Mitch and it's up to Candace and Meap to save them, as Doofenshmirtz tries to find his old friend Balloony.Guest voice: Lorenzo Lamas as Meap, David Mitchell as Mitch, Don LaFontaine as Movie VO voice"
Bango Ru,https://phineasandferb.fandom.com/wiki/Bango_Ru_(song),The Chronicles of Meap,NA,0:11,8.9,315,NA,Jon Colton BarryDavid ShaynePiero Piluso,"Jeff ""Swampy"" MarshRobert F. Hughes",2009-06-19,207,"An alien named Meap crashes in Phineas and Ferb's backyard, and runs off. The boys and Isabella try to find Meap but then they get captured by Meap's nemesis Mitch and it's up to Candace and Meap to save them, as Doofenshmirtz tries to find his old friend Balloony.Guest voice: Lorenzo Lamas as Meap, David Mitchell as Mitch, Don LaFontaine as Movie VO voice"
Kick My Way Into Her Heart,https://phineasandferb.fandom.com/wiki/Kick_My_Way_Into_Her_Heart,Just Passing Through,Ballad,1:23,7.8,173,NA,Martin OlsonEdgar KarapetyanKim Roberson,Zac Moncrief,2010-02-12,224a,"Phineas and Ferb create an orb that allows them to pass through solid objects and to ultimately, help them retrieve Mom's favorite guitar pick for her gig at the Mayor's Day Festival. Candace sees their orb as the perfect way to bust them and brings it to Mom, but en route to the festival, the troublesome Wilkins Brothers put a kink in her plans. Meanwhile, Dr. Doofenshmirtz attempts to destroy a statue erected in his brother Roger's honor."
Loser Let's Boogie,https://phineasandferb.fandom.com/wiki/Loser_Let%27s_Boogie,Thaddeus and Thor,Boogie,NA,8.3,209,NA,Devin BunjeNick StantonAntoine GuilbaudKim Roberson,Zac Moncrief,2009-07-03,208a,"The Flynn-Fletcher's neighbors have relatives visiting who bear an uncanny resemblance to Candace, Phineas, and Ferb. In fact, older sister Mandy has two younger brothers, Thaddeus and Thor, who drive her crazy with their ambitious projects. Although Candace and Mandy initially bond, they soon compete, urging their brothers to build the best backyard fort. Meanwhile, Perry finds himself in the middle of Dr. Doofenshmirtz's family reunion where Dr. Doofenshmirtz tries to win the annual kickball tournament with the Kick-inator 5000.Guest voice: Danny Cooksey as Thaddeus and Aliki Theofilopoulos as Mandy"
So Peanutty,https://phineasandferb.fandom.com/wiki/So_Peanutty,Let's Take a Quiz,"Lounge, jingle",0:04,7.9,189,NA,Devin BunjeNick StantonJoe OrrantiaMike Roth,Zac Moncrief,2009-07-10,209a,"When Candace learns that Jeremy will star in a TV commercial, she worries that, with his new-found celebrity, he will forget about her. So, as Phineas and Ferb produce their own TV game show, Candace uses the opportunity to get herself on the airwaves. Meanwhile, Dr. Doofenshmirtz tries to erase all infomercials in the Tri-State Area.Guest voice: Corbin Bleu as Coltrane"
